Stream,Station,Reach,Datum,UTM Band,Lower UTM E,Lower UTM N,Focal Species 1,Focal Species 2,Focal Species 3,Survey Interval,name
La Barge Creek,LBC01-F,,NAD83,12S,463589,3706044,POOC,,,2,LBC01-F
La Barge Creek,LBC02-F,,NAD83,12S,463680,3706071,POOC,,,2,LBC02-F
La Barge Creek,LBC03-F,,NAD83,12S,463712,3706000,POOC,,,2,LBC03-F
Charlebois Spring,CHB01-F,,NAD83,12S,468081,3702276,POOC,,,2,CHB01-F
Charlebois Spring,CHB02-F,,NAD83,12S,467984,3702203,POOC,,,2,CHB02-F
Cottonwood Spring,CWS01-F,,NAD83,12R,527489,3502126,POOC,,,4,CWS01-F
Monkey Spring,MKS01-F,,NAD83,12R,528082,3499698,POOC,,,4,MKS01-F
Fresno Canyon,FRC01-F,,NAD83,12R,507759,3485955,POOC,,,4,FRC01-F
Fresno Canyon,FRC02-F,,NAD83,12R,507744,3485874,POOC,,,4,FRC02-F
Fresno Canyon,FRC03-F,,NAD83,12R,507754,3485720,POOC,,,4,FRC03-F
Coal Mine Canyon,CMC01-F,,NAD83,12R,510445,3487949,POOC,,,4,CMC01-F
Coal Mine Canyon,CMC02-F,,NAD83,12R,510048,3487033,POOC,,,4,CMC02-F
Hot Springs Canyon,HSC01,1,NAD83,12S,569700,3579823,TICO,MEFU,GIIN,4,HSC01
Hot Springs Canyon,HSC02,1,NAD83,12S,569604,3579847,TICO,MEFU,GIIN,4,HSC02
Hot Springs Canyon,HSC03,1,NAD83,12S,569572,3579933,TICO,MEFU,GIIN,4,HSC03
Hot Springs Canyon,HSC04,1,NAD83,12S,569501,3579985,TICO,MEFU,GIIN,4,HSC04
Hot Springs Canyon,HSC05,1,NAD83,12S,569425,3579930,TICO,MEFU,GIIN,4,HSC05
Hot Springs Canyon,HSC06-F,1,NAD83,12S,569342,3579976,TICO,MEFU,GIIN,4,HSC06-F
Hot Springs Canyon,HSC07,1,NAD83,12S,569268,3580041,TICO,MEFU,GIIN,4,HSC07
Hot Springs Canyon,HSC08,1,NAD83,12S,569184,3580093,TICO,MEFU,GIIN,4,HSC08
Hot Springs Canyon,HSC09,2,NAD83,12S,569122,3580059,TICO,MEFU,GIIN,4,HSC09
Hot Springs Canyon,HSC10,2,NAD83,12S,569070,3579979,TICO,MEFU,GIIN,4,HSC10
Hot Springs Canyon,HSC11,2,NAD83,12S,569014,3579899,TICO,MEFU,GIIN,4,HSC11
